Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Avg Entropy (bits)	Agg Entropy (bits)	Peak Time Relative	Peak Freq (Hz)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Center Time Rel.	Peak Freq Contour (Hz)	Freq Contour 50% (Hz)	File ID	Unit Quality	Family	Unit	Nb Harmonics	Chain	Chain ID	Z Shape	Z Plateau
11	Spectrogram 1	1	39.723336266	39.848347236	0.1250	6.594	6.995	0.0820	2497.852	931.976	9219.005	8287.029	0.4098	2519.385;2519.385;2519.385;2519.385;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2497.852;2519.385;2519.385;2519.385;2519.385;2519.385;2863.916;2863.916;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2497.852;2497.852;2476.318;2476.318;2476.318;2454.785;2454.785;2454.785;6072.363;2217.920;2519.385;2519.385;2476.318;2045.654;2045.654;2045.654;2476.318;2476.318;2476.318;2476.318;2476.318;2476.318;2691.650;2691.650;2691.650;2691.650;2691.650;2691.650;2691.650;2691.650;6223.096;6223.096;6223.096	2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2519.385;2562.451;2734.717;2777.783;2799.316;2799.316;2820.850;2820.850;2842.383;2842.383;2842.383;2842.383;2842.383;2820.850;2713.184;2627.051;2605.518;2605.518;2605.518;2583.984;2583.984;2583.984;2605.518;2627.051;2627.051;2670.117;2734.717;2670.117;2627.051;2605.518;2583.984;2562.451;2540.918;2540.918;2540.918;2540.918;2540.918;2583.984;2583.984;2605.518;2670.117;2670.117;2691.650;2691.650;2691.650;2691.650;2713.184;2756.250;2820.850;2863.916;2928.516;3186.914;3466.846	154	0	r	r	na	1	230	0	0
12	Spectrogram 1	1	40.026934336	40.125157240	0.0982	2.793	3.012	0.4792	1055.127	831.222	1183.861	352.639	0.4583	839.795;990.527;990.527;968.994;968.994;968.994;990.527;990.527;990.527;990.527;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127	968.994;968.994;968.994;968.994;968.994;968.994;990.527;990.527;990.527;990.527;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;990.527;968.994	154	0	h	p	0	1	230	0	0
13	Spectrogram 1	1	40.259097565	40.393037890	0.1339	2.494	2.743	0.8636	1012.061	730.468	1083.107	352.639	0.7879	839.795;839.795;839.795;1055.127;1055.127;1055.127;1076.660;947.461;947.461;968.994;968.994;968.994;990.527;990.527;990.527;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527	904.395;904.395;904.395;925.928;925.928;947.461;947.461;947.461;968.994;968.994;968.994;990.527;990.527;990.527;990.527;990.527;1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;1012.061;990.527;990.527;990.527;990.527	154	1	h	p	0	1	230	0	0
14	Spectrogram 1	1	41.168668286	41.588347970	0.4197	4.393	4.538	0.0335	6912.158	6800.905	7959.578	1158.673	0.1531	6890.625;6890.625;6890.625;6890.625;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6890.625;6890.625;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6869.092;6976.758;6976.758;6976.758;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7256.689;7256.689;7256.689;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7062.891;7062.891;7062.891;6998.291;6998.291;6998.291;6998.291;6998.291;7256.689;7256.689;7256.689;7278.223;7278.223;7278.223;7278.223;7299.756;7299.756;7299.756;7299.756;7299.756;7299.756;7256.689;7256.689;7256.689;7256.689;7256.689;7256.689;7256.689;7235.156;7235.156;7235.156;7235.156;7579.688;7579.688;7579.688;7579.688;7579.688;7407.422;7407.422;7407.422;7407.422;7385.889;7385.889;7385.889;7385.889;7385.889;7558.154;7558.154;7558.154;7558.154;7558.154;7579.688;7579.688;7579.688;7558.154;7558.154;7558.154;7558.154;7558.154;7558.154;7665.820;7644.287;7644.287;7644.287;7644.287;7644.287;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7450.488;7450.488;7450.488;7450.488;7450.488;7450.488;7450.488;7450.488;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7838.086;7579.688;7579.688;7579.688;7601.221;7601.221;7601.221;7601.221;7601.221;7601.221;7601.221;7601.221;7601.221;7945.752;7945.752;7945.752;7945.752;7945.752;7945.752;7945.752;7945.752;7859.619;7859.619;7859.619;7859.619;7859.619;7859.619	6890.625;6890.625;6890.625;6890.625;6890.625;6890.625;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6933.691;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6912.158;6890.625;6890.625;6890.625;6890.625;6955.225;7019.824;7062.891;7062.891;7062.891;7041.357;7019.824;6998.291;6976.758;6976.758;6976.758;6976.758;6976.758;6976.758;7041.357;7062.891;7105.957;7170.557;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7213.623;7213.623;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7192.090;7149.023;7149.023;7105.957;7084.424;7084.424;7084.424;7084.424;7084.424;7084.424;7084.424;7084.424;7084.424;7170.557;7192.090;7235.156;7256.689;7256.689;7256.689;7256.689;7278.223;7278.223;7278.223;7278.223;7278.223;7256.689;7256.689;7256.689;7256.689;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7235.156;7256.689;7299.756;7321.289;7342.822;7364.355;7364.355;7364.355;7364.355;7364.355;7321.289;7278.223;7278.223;7278.223;7342.822;7364.355;7472.021;7515.088;7536.621;7536.621;7536.621;7536.621;7536.621;7536.621;7493.555;7472.021;7450.488;7450.488;7428.955;7428.955;7385.889;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7364.355;7428.955;7450.488;7450.488;7472.021;7472.021;7558.154;7579.688;7579.688;7579.688;7601.221;7601.221;7601.221;7601.221;7579.688;7579.688;7579.688;7579.688;7579.688;7579.688;7558.154;7558.154;7558.154;7515.088;7493.555;7450.488;7450.488;7428.955;7428.955;7428.955;7428.955;7450.488;7493.555;7493.555;7515.088;7515.088;7579.688;7601.221;7622.754;7665.820;7708.887;7730.420;7730.420;7730.420;7730.420;7730.420	154	1	z	m	0	1	230	1	3
15	Spectrogram 1	1	62.411558169	62.686217494	0.2747	6.446	7.182	0.4926	6266.162	2594.419	14810.860	12216.441	0.5147	4694.238;4694.238;4694.238;4694.238;4694.238;4694.238;4694.238;4694.238;4694.238;4694.238;4672.705;4672.705;4672.705;4672.705;4672.705;4672.705;4672.705;4651.172;4651.172;4651.172;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6136.963;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5426.367;5426.367;5426.367;5426.367;5426.367;5426.367;5426.367;6223.096;6223.096;6223.096;6223.096;6223.096;6244.629;6244.629;6244.629;6244.629;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6266.162;6287.695;6287.695;6352.295;6330.762;6330.762;6309.229;6309.229;6309.229;6309.229;6309.229;6309.229;6180.029;6180.029;6180.029;6373.828;6373.828;6352.295;6352.295;6352.295;6352.295;6352.295;6352.295;6352.295;6352.295;6352.295;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6352.295;6352.295;6352.295;6352.295;6373.828;6373.828;6373.828;6373.828;6395.361;6395.361;6180.029;6180.029;6180.029;6201.562;6330.762;6330.762;6352.295;6352.295;6352.295;6352.295;6352.295;6352.295	4694.238;4694.238;4694.238;4694.238;4694.238;4715.771;4737.305;4715.771;4694.238;4694.238;4694.238;4694.238;4672.705;4672.705;4672.705;4672.705;4672.705;4694.238;4715.771;4931.104;5017.236;5060.303;5167.969;5189.502;5189.502;5254.102;5297.168;5447.900;5490.967;5512.500;5555.566;5534.033;5490.967;5426.367;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5426.367;5426.367;5426.367;5469.434;5577.100;5620.166;5749.365;5770.898;5813.965;5813.965;5770.898;5749.365;5663.232;5641.699;5663.232;5835.498;5900.098;6050.830;6072.363;6072.363;6072.363;6093.896;6093.896;6115.430;6136.963;6136.963;6158.496;6158.496;6180.029;6244.629;6244.629;6244.629;6180.029;6136.963;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6115.430;6158.496;6158.496;6158.496;6158.496;6158.496;6158.496;6158.496;6180.029;6201.562;6244.629;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6309.229;6287.695;6244.629;6201.562;6180.029;6158.496;6158.496;6158.496;6223.096;6266.162;6330.762;6330.762;6330.762;6352.295;6352.295;6352.295;6352.295;6330.762;6309.229;6266.162;6201.562;6201.562;6201.562;6201.562;6201.562;6201.562;6201.562;6223.096;6244.629;6287.695;6287.695;6352.295	154	1	r	r	na	1	231	0	0
16	Spectrogram 1	1	62.711473524	62.761985583	0.0505	2.784	3.014	0.6250	1098.193	856.410	1183.861	327.451	0.6250	1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1076.660;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1119.727;1119.727	1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1076.660;1076.660;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1076.660;1055.127;1055.127	154	1	h	p	0	1	231	0	0
17	Spectrogram 1	1	62.818811651	62.881951725	0.0631	2.437	2.734	0.4000	1076.660	931.976	1133.484	201.508	0.4667	1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;968.994	1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1033.594;1033.594;1033.594;1033.594;1012.061;1012.061;1012.061;990.527;990.527	154	1	h	p	0	1	231	0	0
18	Spectrogram 1	1	63.304990225	63.478625430	0.1736	6.547	7.121	0.4651	6266.162	2090.649	13878.884	11788.235	0.4884	2950.049;5943.164;5943.164;5943.164;5921.631;5921.631;5921.631;5921.631;5921.631;5921.631;6352.295;6352.295;6352.295;6352.295;6352.295;4177.441;4177.441;4177.441;4177.441;4177.441;4177.441;4177.441;4177.441;4242.041;4242.041;4242.041;4242.041;4242.041;4220.508;4220.508;4220.508;4220.508;4220.508;4198.975;4198.975;4198.975;4198.975;6266.162;6266.162;6266.162;6266.162;6266.162;6287.695;6287.695;6287.695;6287.695;6287.695;6287.695;6287.695;4155.908;4155.908;4155.908;4155.908;4155.908;4155.908;4155.908;4155.908;4155.908;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4349.707;4349.707;4349.707;4349.707;4349.707;6093.896;6115.430;6115.430;5404.834;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4134.375;4112.842	5404.834;5598.633;5900.098;5921.631;5921.631;5921.631;5900.098;5900.098;5900.098;5770.898;5663.232;5641.699;5620.166;5620.166;5598.633;5577.100;5555.566;5555.566;5512.500;5490.967;5490.967;5426.367;5383.301;5318.701;5232.568;5189.502;5167.969;5038.770;5017.236;5167.969;5189.502;5211.035;5318.701;5340.234;5318.701;5318.701;5211.035;5211.035;5297.168;5318.701;5383.301;5404.834;5512.500;5555.566;5577.100;5620.166;5620.166;5598.633;5555.566;5469.434;5426.367;5404.834;5404.834;5404.834;5361.768;5361.768;5340.234;5318.701;5275.635;5081.836;5060.303;5060.303;5275.635;5318.701;5447.900;5490.967;5512.500;5534.033;5555.566;5555.566;5555.566;5555.566;5555.566;5555.566;5577.100;5770.898;5900.098;5964.697;5986.230;5986.230;5964.697;5964.697;5943.164;5900.098;5792.432;5620.166;5598.633	154	1	r	r	na	1	231	0	0
19	Spectrogram 1	1	63.491253445	63.541765505	0.0505	2.266	2.431	0.7917	1076.660	931.976	1133.484	201.508	0.7500	1012.061;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127	990.527;990.527;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127	154	1	h	p	0	1	231	0	0
20	Spectrogram 1	1	63.589120561	63.712243706	0.1231	6.294	6.773	0.3333	5297.168	1108.296	8841.177	7732.881	0.5333	6373.828;6373.828;4909.570;4909.570;4909.570;4909.570;4909.570;6115.430;4995.703;4995.703;4995.703;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5426.367;5426.367;5426.367;5426.367;5426.367;5426.367;5426.367;5447.900;5447.900;5383.301;5383.301;5383.301;5383.301;5383.301;5383.301;5383.301;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5254.102;5254.102;5254.102;5254.102;5254.102;5275.635;5404.834;5404.834;5404.834;5404.834	4931.104;4909.570;4888.037;4801.904;4758.838;4758.838;4758.838;4888.037;4931.104;4995.703;5017.236;5124.902;5146.436;5146.436;5146.436;5167.969;5167.969;5275.635;5275.635;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5318.701;5340.234;5340.234;5361.768;5404.834;5404.834;5404.834;5404.834;5404.834;5383.301;5383.301;5383.301;5383.301;5383.301;5383.301;5383.301;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5404.834;5383.301;5383.301;5361.768;5361.768;5361.768;5361.768;5383.301;5383.301;5404.834;5404.834	154	1	r	r	na	1	231	0	0
21	Spectrogram 1	1	63.759598762	63.860622882	0.1010	1.939	2.221	0.4000	1098.193	856.410	1133.484	277.074	0.5000	1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1033.594;1033.594	1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1098.193;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1033.594;1033.594;1033.594	154	1	h	p	1	1	231	0	0
22	Spectrogram 1	1	64.015316064	64.226835314	0.2115	2.426	3.291	0.3524	990.527	730.468	1083.107	352.639	0.4190	947.461;947.461;968.994;968.994;968.994;968.994;968.994;968.994;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;968.994;968.994;947.461;947.461;947.461;947.461;925.928;925.928;925.928;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;839.795;839.795	947.461;947.461;947.461;968.994;968.994;968.994;968.994;968.994;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;990.527;968.994;968.994;968.994;968.994;968.994;968.994;968.994;947.461;947.461;947.461;925.928;925.928;925.928;904.395;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;882.861;882.861;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;839.795;839.795;839.795;839.795	154	1	h	l	0	1	231	0	0
23	Spectrogram 1	1	87.997253177	88.113334792	0.1161	5.798	6.487	0.0175	2734.717	1989.894	8438.160	6448.266	0.3860	2734.717;2734.717;2734.717;2713.184;2713.184;2756.250;2756.250;5706.299;5706.299;5706.299;5706.299;5706.299;5706.299;5706.299;5706.299;5727.832;5727.832;5727.832;5727.832;5727.832;5727.832;5706.299;5706.299;5706.299;5706.299;5706.299;5727.832;5727.832;5727.832;5727.832;5727.832;5641.699;5641.699;5641.699;5641.699;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5577.100;5706.299;5598.633;5598.633;5598.633;5598.633;5598.633;5598.633;5598.633;6223.096;6223.096	2734.717;2734.717;2734.717;2734.717;2734.717;2756.250;2756.250;2863.916;3014.648;3359.180;3919.043;5081.836;5641.699;5663.232;5663.232;5663.232;5663.232;5663.232;5620.166;4543.506;4198.975;4069.775;3940.576;3919.043;3940.576;3962.109;4177.441;5404.834;5555.566;5577.100;5620.166;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5641.699;5663.232;5684.766;5684.766;5684.766;5684.766;5706.299;5706.299;5727.832	154	0	r	r	na	1	232	0	0
24	Spectrogram 1	1	88.141999233	88.213434073	0.0714	2.057	2.353	0.6286	1076.660	982.353	1183.861	201.508	0.6286	990.527;990.527;990.527;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127	1055.127;1012.061;1012.061;1012.061;1012.061;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127	154	1	h	p	0	1	232	0	0
25	Spectrogram 1	1	88.253616171	88.351839076	0.0982	5.402	5.944	0.5833	5297.168	1939.517	10453.243	8513.726	0.4792	5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5167.969;5167.969;5167.969;5060.303;5060.303;5081.836;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5318.701;5318.701;6352.295;6352.295;6352.295;5254.102;5254.102;5254.102;5060.303;5060.303;5060.303;5060.303;5275.635;5275.635;5275.635;5275.635	4995.703;5017.236;5017.236;5060.303;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5081.836;5103.369;5103.369;5103.369;5103.369;5124.902;5124.902;5146.436;5167.969;5211.035;5254.102;5275.635;5275.635;5275.635;5275.635;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5297.168;5318.701;5318.701;5318.701;5361.768;5361.768;5340.234;5297.168;5275.635;5275.635;5275.635;5275.635;5275.635;5275.635;5275.635	154	0	r	r	na	1	232	0	0
26	Spectrogram 1	1	88.387556496	88.467920690	0.0804	1.955	1.934	0.4615	1076.660	780.845	1108.296	327.451	0.5641	1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127	1033.594;1033.594;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1076.660;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127;1055.127	154	1	h	p	0	1	232	0	0
27	Spectrogram 1	1	100.341367447	100.444055029	0.1027	5.781	6.337	0.3600	6223.096	3627.149	10957.014	7329.865	0.5000	6352.295;6352.295;6223.096;6330.762;6330.762;6330.762;6330.762;6330.762;6330.762;6201.562;6201.562;6201.562;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;6223.096;3746.777;3746.777;3746.777;3746.777;3746.777;4586.572;4586.572;4586.572;4586.572;4586.572;4586.572;4586.572;4586.572;4565.039;4565.039;4565.039;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;3725.244;6050.830	6223.096;6223.096;6223.096;6201.562;6201.562;6136.963;6115.430;6093.896;6072.363;6072.363;6072.363;6072.363;6050.830;6050.830;6007.764;5964.697;5921.631;5620.166;5534.033;5469.434;5426.367;5383.301;5361.768;5297.168;5254.102;5211.035;4974.170;4952.637;4931.104;4952.637;4952.637;4952.637;4931.104;4888.037;4758.838;4737.305;4715.771;4715.771;4715.771;4715.771;4758.838;4780.371;4844.971;4931.104;5232.568;5383.301;5490.967;5534.033;5598.633;5663.232	154	0	r	r	na	1	233	0	0
28	Spectrogram 1	1	100.458888898	100.695516805	0.2366	2.342	3.184	0.3220	904.395	768.250	994.947	226.697	0.4915	947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;796.729;796.729;796.729;796.729;796.729;796.729;796.729;796.729;796.729;796.729	947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;947.461;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;925.928;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;904.395;882.861;882.861;882.861;882.861;882.861;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;839.795;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;861.328;839.795;839.795;839.795;839.795;839.795;839.795;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;818.262;796.729;796.729;796.729;796.729;796.729;796.729;796.729;818.262;818.262;818.262	154	1	h	y	0	1	233	0	0
